window_id,unlock_id,acceleration_x,acceleration_y,speed_x,speed_y,orientation,velocity,acceleration_mag,TIMESTAMP
1,1,0.0229140426963568,0.0256675183773041,0.0229140426963568,0.0256675183773041,58.8708381652832,0.0344074825051137,0.0776494890451431,1494837317.415
2,1,0.0114331878721714,0.0106806820258498,0.0232367329249163,0.0259689698851974,298.976623535156,0.0348472833076293,0.0731921643018723,1494837317.583
3,1,-0.00619053235277534,0.00490994332358241,0.0230974457698663,0.0260794437504526,299.427673339844,0.0348371839766784,0.0785344690084457,1494837317.733
4,1,-0.00986201874911785,0.00678319251164794,0.0228124331721965,0.0262754781899949,299.658081054687,0.0347966645147036,0.0868057087063789,1494837317.903
5,1,-0.0111809512600303,0.00304758036509156,0.0225297678282213,0.0263525239915691,300.075988769531,0.034670534451026,0.0721841230988503,1494837318.062
6,1,0.00428072642534971,0.000909995287656784,0.0226339434514949,0.0263746696081883,299.965850830078,0.0347551232641544,0.0851835459470749,1494837318.218
7,1,0.00179139676038176,0.00302787311375141,0.0226786638759022,0.0264502574253002,299.777008056641,0.0348416118034284,0.103224970400333,1494837318.376
8,1,0.0090820137411356,-0.00328388810157776,0.022925922300232,0.0263608533547036,299.783996582031,0.0349355478403368,0.0829348862171173,1494837318.541
9,1,0.00907432101666927,0.0159289725124836,0.0231495947444164,0.0267534857300261,299.906921386719,0.0353787045486041,0.0839808434247971,1494837318.698
10,1,0.00314449821598828,-0.0119438394904137,0.0232203460442409,0.0264847489997757,299.940856933594,0.0352225268825991,0.0797791332006454,1494837318.848
11,2,-0.244216486811638,-0.460770308971405,-8134.89247022362,2029.83827141832,178.223419189453,8384.313860431,1.20081007480621,1494838242.372
12,2,0.504847824573517,-0.226162239909172,-8134.87954610544,2029.83248165877,174.296295166016,8384.29991908935,1.77821576595306,1494838242.532
13,2,0.570842385292053,0.0453011766076088,-8134.86493256825,2029.83364136668,166.723876953125,8384.28602104869,1.10814106464386,1494838242.692
14,2,0.284212321043015,0.306772977113724,-8134.85783747114,2029.84129966965,161.578125,8384.28099109937,2.28414607048035,1494838242.85
15,2,-0.754745841026306,-0.110519908368587,-8134.87691818152,2029.83850561866,162.721481323242,8384.29882774073,2.28520083427429,1494838243.009
16,2,1.12534093856812,1.03279852867126,-8134.84810942258,2029.86494528936,164.430389404297,8384.27727711165,3.27099084854126,1494838243.169
17,2,0.708808779716492,-0.207779675722122,-8134.82996395243,2029.85962613981,162.087631225586,8384.25838367657,3.11356139183044,1494838243.329
18,2,-1.48793160915375,1.20614647865295,-8134.86710867354,2029.8897363776,158.859451293945,8384.3017131798,2.63788533210754,1494838243.487
19,2,-0.963940799236298,-0.668649077415466,-8134.89147810941,2029.87283222661,153.935836791992,8384.32126505353,1.56082284450531,1494838243.646
20,2,-0.0559733137488365,-0.8023601770401,-8134.89289316933,2029.85254777941,152.853607177734,8384.31772710597,2.23245215415955,1494838243.805
21,2,-0.373267233371735,-0.472665876150131,-8134.90232972875,2029.84059832544,159.520050048828,8384.32398997298,2.44190311431885,1494838243.964
22,2,0.390532851219177,0.597118496894836,-8134.89245664807,2029.85569410822,165.376220703125,8384.31806530104,2.08150053024292,1494838244.123
23,2,0.254556626081467,0.409801304340363,-8134.8860212085,2029.86605428455,165.590972900391,8384.31432953167,1.01563382148743,1494838244.282
24,2,0.0245274994522333,0.148925572633743,-8134.88539330571,2029.86986677194,170.047943115234,8384.31464332341,0.588573813438416,1494838244.442
25,2,0.236034750938416,0.240874260663986,-8134.87950091697,2029.87587997455,174.198394775391,8384.31038204941,0.874943912029266,1494838244.6
26,2,0.0563325472176075,0.597974181175232,-8134.87805880651,2029.89118808439,176.020751953125,8384.3126890112,1.67139172554016,1494838244.76
27,2,0.0881487727165222,-0.839911937713623,-8134.87583031295,2029.86995422841,175.429809570313,8384.30538599884,2.43961620330811,1494838244.919
28,2,0.539467811584473,-1.06719148159027,-8134.86219204095,2029.84297458775,172.935028076172,8384.28562162457,2.08168506622314,1494838245.078
29,2,-0.0168706588447094,-0.0900401696562767,-8134.86261854765,2029.84069828452,172.804443359375,8384.28548434845,1.76854574680328,1494838245.237
30,2,-0.149105086922646,0.422293722629547,-8134.86638808086,2029.85137431338,173.777038574219,8384.29172642088,1.20103573799133,1494838245.396
31,2,0.203492164611816,0.434068858623505,-8134.86124360063,2029.86234799713,174.213073730469,8384.28939174048,0.6906818151474,1494838245.555
32,2,-0.315918326377869,-0.294364780187607,-8134.86923032379,2029.85490616863,173.596054077148,8384.29533917822,1.7369772195816,1494838245.714
33,2,-1.04161500930786,-0.321616351604462,-8134.89556344528,2029.84677536945,172.556167602539,8384.31892043948,1.21005153656006,1494838245.873
34,2,-0.186111867427826,-0.263652175664902,-8134.9003876375,2029.83994126051,171.213241577148,8384.32194658109,0.770846545696259,1494838246.034
35,2,0.167664363980293,0.382307678461075,-8134.89614890628,2029.84960640018,171.642303466797,8384.32017387773,0.586378812789917,1494838246.193
36,2,0.0800262838602066,0.314764052629471,-8134.89415113032,2029.85746416923,171.930938720703,8384.32013790849,0.70250540971756,1494838246.351
37,2,0.0346486568450928,-0.0586616769433022,-8134.89327517851,2029.85598114487,170.776596069336,8384.31892897295,2.00360727310181,1494838246.51
38,2,0.249427154660225,-0.46889591217041,-8134.88680977616,2029.84382689191,167.284942626953,8384.30971335395,1.50622487068176,1494838246.671
39,2,0.360817193984985,0.0190083626657724,-8134.87757284608,2029.84431350652,166.328048706055,8384.30086902116,0.889443218708038,1494838246.831
